study_word,test,condition,textbox.text,corr_resp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,t_g_r,prime,tiger,1,[-0.0012048192771084338],[-0.3060240963855422],[1],[0],[0],[3.4277699000085704],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,l_f_,non_prime,lift,1,[-0.004819277108433735],[-0.3060240963855422],[1],[0],[0],[3.035493100003805],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,p_n_i_,non_prime,pencil,1,[-0.021686746987951807],[-0.31204819277108437],[1],[0],[0],[3.4798289999598637],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,b_k_,prime,bike,1,[0.02650602409638554],[-0.29397590361445786],[1],[0],[0],[2.940693700045813],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,d_e_s,prime,dress,1,[0.0819277108433735],[-0.2963855421686747],[1],[0],[0],[3.520789699978195],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,s_e_f,non_prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,_r_e,non_prime,tree,1,[0.09879518072289156],[-0.3024096385542169],[1],[0],[0],[4.201763599994592],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,r_o_,prime,room,1,[0.046987951807228916],[-0.3096385542168675],[1],[0],[0],[4.529721300001256],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,k_y_,prime,keys,1,[0.13734939759036144],[-0.29397590361445786],[1],[0],[0],[3.051013200019952],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,r_n_a_,prime,runway,1,[0.09879518072289156],[-0.3180722891566265],[1],[0],[0],[3.8604189000325277],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
