pos,corr_resp,key_resp.keys,key_resp.corr,key_resp.rt,,,Sequence _trials,,,,,,Random_trials,,,,,,,,,,
50,c,c,1,0.4004125,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4876351,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4652744,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.5500712,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3228519,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4231904,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3910411,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4672267,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3933754,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3364631,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3761031,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4790813,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4051687,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3649197,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.665119,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4218383,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.375461,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3728837,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4757919,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3569274,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4700221,,,,,,,,,,,,,,,,,,,
50,c,c,1,1.0128778,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.5276619,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4224653,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3510319,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4202561,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5194306,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4370575,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5199813,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3954554,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4476774,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3433231,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4641509,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.6520512,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3924537,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.349066,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.347579,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5491238,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3844616,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5396032,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5179073,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3759109,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3215694,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4056641,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5096987,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3975213,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.6267206,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.8820719,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4818058,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5465788,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4790129,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4509775,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5319931,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3923173,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5201286,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4155174,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3702272,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3296884,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3934951,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4871355,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5239267,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.7212847,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.6255865,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4694853,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4745757,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5343662,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4750933,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4723932,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4249329,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3889981,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.5021244,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5009819,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4436191,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4923715,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.787667,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4226998,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4067824,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.7449795,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3829274,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4308246,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.7006691,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4733114,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5754348,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4794488,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.346954,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5186231,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3750928,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3424621,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5145813,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5388174,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.7634325,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5952311,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4031032,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.6640488,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4618771,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4391374,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.7893622,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4517944,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4349656,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3902629,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.693213,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3598512,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3205646,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5261353,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4192639,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.8172651,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.7073478,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5154293,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.461817,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4027608,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3771566,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5784239,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4303034,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3118948,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.3178865,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3183512,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4645125,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3825786,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4393831,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4909225,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3355283,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.32735,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3832971,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.8030189,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.3446799,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.6365036,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.6388949,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4228056,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.5803876,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4502091,,,,,,,,,,,,,,,,,,,
-50,x,z,0,0.4433943,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.4341416,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4628765,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5043827,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4026924,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.9536918,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4568083,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4853966,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.48759,,,,,,,,,,,,,,,,,,,
150,v,v,1,1.0200827,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.3988252,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.423801,,,,,,,,,,,,,,,,,,,
50,c,c,1,1.845937,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.5956682,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4637545,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4226221,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3577356,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.3900975,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4014373,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.5862557,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.4318631,,,,,,,,,,,,,,,,,,,
-50,x,z,0,0.4399486,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.45736,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.5533154,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4356529,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4311733,,,,,,,,,,,,,,,,,,,
-150,z,z,1,0.4897767,,,,,,,,,,,,,,,,,,,
50,c,c,1,0.7796493,,,,,,,,,,,,,,,,,,,
-50,x,x,1,0.566108,,,,,,,,,,,,,,,,,,,
150,v,v,1,0.4254707,,,,,,,,,,,,,,,,,,,
