study_word,test,condition,textbox.text,corr_resp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,s_e_f,non_prime,,0,[],[],[],[],[],[],[],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,p_n_i_,non_prime,,0,[],[],[],[],[],[],[],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,b_t_l_,non_prime,bottle,1,[0.10240963855421686],[-0.30481927710843376],[1],[0],[0],[7.8749651000835],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,b_r_,non_prime,,0,[],[],[],[],[],[],[],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,_r_e,non_prime,tree,1,[-0.007228915662650603],[-0.3132530120481928],[1],[0],[0],[4.950519900070503],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,r_o_,prime,room,1,[0.1108433734939759],[-0.3096385542168675],[1],[0],[0],[5.554586899932474],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,l_f_,non_prime,,0,[],[],[],[],[],[],[],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,b_o_,prime,book,1,[0.13493975903614458],[-0.2963855421686747],[1],[0],[0],[4.18434950010851],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,r_n_a_,prime,runway,1,[0.06987951807228916],[-0.3072289156626506],[1],[0],[0],[5.096487700007856],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,p_an_,prime,piano,1,[-0.00963855421686747],[-0.3156626506024096],[1],[0],[0],[3.798780699959025],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,m_b_l_,non_prime,,0,[],[],[],[],[],[],[],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,m_n_y,non_prime,money,1,[-0.04939759036144578],[-0.3096385542168675],[1],[0],[0],[7.887860199902207],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,d_e_s,prime,dress,1,[-0.11927710843373494],[-0.29156626506024097],[1],[0],[0],[5.865053900051862],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,c_s_i_n,prime,cushion,1,[-0.0891566265060241],[-0.29156626506024097],[1],[0],[0],[4.148538499837741],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,t_g_r,prime,tiger,1,[0.007228915662650603],[-0.30120481927710846],[1],[0],[0],[3.2290720001328737],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,v_s_,prime,vase,1,[-0.03855421686746988],[-0.2963855421686747],[1],[0],[0],[3.7801075999159366],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,k_y_,prime,keys,1,[0.04939759036144578],[-0.30843373493975906],[1],[0],[0],[3.6810609998647124],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,b_k_,prime,bike,1,[-0.09036144578313253],[-0.27228915662650605],[1],[0],[0],[4.182595900027081],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,h_p_y,non_prime,happy,1,[-0.13253012048192772],[-0.2963855421686747],[1],[0],[0],[5.968025599839166],['text_3'],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,c_o_k,non_prime,,0,[],[],[],[],[],[],[],610899,1,2024-11-07_14h38.14.518,word_prime_exp,2024.1.5,None,2024-11-07 14h38.23.006441 +0530
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Proportion of hit from study words,10,0.5,,,,,,,,,,,,,,
,,Proportion of hit from non-prime words,4,0.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Priming score,,0.3,,,,,,,,,,,,,,
