study_word,test,condition,textbox.text,corr_resp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,m_b_l_,non_prime,,0,[],[],[],[],[],[],[],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,c_o_k,non_prime,,0,[],[],[],[],[],[],[],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,p_n_i_,non_prime,pencil,1,[0.06987951807228916],[-0.30120481927710846],[1],[0],[0],[9.004267700016499],['text_3'],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,_r_e,non_prime,,0,[],[],[],[],[],[],[],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,l_f_,non_prime,,0,[],[],[],[],[],[],[],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,d_e_s,prime,dress,1,[-0.02650602409638554],[-0.27710843373493976],[1],[0],[0],[3.495989999966696],['text_3'],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,b_r_,non_prime,,0,[],[],[],[],[],[],[],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,k_y_,prime,keys,1,[0.0891566265060241],[-0.2783132530120482],[1],[0],[0],[3.8346449001692235],['text_3'],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,m_n_y,non_prime,money,1,[0.05542168674698795],[-0.2855421686746988],[1],[0],[0],[3.483161900192499],['text_3'],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,t_g_r,prime,tiger,1,[0.007228915662650603],[-0.3168674698795181],[1],[0],[0],[3.0417225998826325],['text_3'],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,b_o_,prime,book,1,[0.0024096385542168677],[-0.29397590361445786],[1],[0],[0],[3.1116915999446064],['text_3'],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,b_t_l_,non_prime,,0,[],[],[],[],[],[],[],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,c_s_i_n,prime,cushion,1,[0.0],[-0.3156626506024096],[1],[0],[0],[4.96323879994452],['text_3'],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,s_e_f,non_prime,,0,[],[],[],[],[],[],[],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,r_n_a_,prime,runway,1,[-0.0891566265060241],[-0.3060240963855422],[1],[0],[0],[4.416590599808842],['text_3'],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,h_p_y,non_prime,,0,[],[],[],[],[],[],[],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,p_an_,prime,piano,1,[-0.12891566265060242],[-0.29397590361445786],[1],[0],[0],[4.003393100108951],['text_3'],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,b_k_,prime,bike,1,"[-0.10843373493975904, -0.1144578313253012]","[-0.3313253012048193, -0.3060240963855422]","[1, 1]","[0, 0]","[0, 0]","[3.060699300142005, 3.8361043001059443]",['text_3'],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,v_s_,prime,vase,1,[-0.10843373493975904],[-0.30120481927710846],[1],[0],[0],[2.97397239995189],['text_3'],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,r_o_,prime,room,1,[-0.14698795180722893],[-0.29397590361445786],[1],[0],[0],[2.982279800111428],['text_3'],300466,1,2024-11-07_14h46.55.668,word_prime_exp,2024.1.5,None,2024-11-07 14h47.03.028028 +0530
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Proportion of hit from study words,10,0.5,,,,,,,,,,,,,,
,,Proportion of hit from non-prime words,2,0.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Priming score,,0.4,,,,,,,,,,,,,,
