study_word,test,condition,textbox.text,corr_resp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,c_o_k,non_prime,,0,[],[],[],[],[],[],[],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,b_t_l_,non_prime,,0,[],[],[],[],[],[],[],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,v_s_,prime,vase,1,[-0.06385542168674699],[-0.29156626506024097],[1],[0],[0],[3.0107653001323342],['text_3'],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,t_g_r,prime,tiger,1,[-0.05421686746987952],[-0.29036144578313255],[1],[0],[0],[2.9970859000459313],['text_3'],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,l_f_,non_prime,,0,[],[],[],[],[],[],[],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,m_b_l_,non_prime,,0,[],[],[],[],[],[],[],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,p_an_,prime,piano,1,[-0.0783132530120482],[-0.3168674698795181],[1],[0],[0],[3.9045190000906587],['text_3'],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,_r_e,non_prime,,0,[],[],[],[],[],[],[],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,d_e_s,prime,dress,1,[-0.03253012048192771],[-0.30120481927710846],[1],[0],[0],[3.564884499879554],['text_3'],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,k_y_,prime,keys,1,[-0.04096385542168675],[-0.3036144578313253],[1],[0],[0],[3.7968441999983042],['text_3'],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,p_n_i_,non_prime,pencil,1,[-0.08674698795180723],[-0.29156626506024097],[1],[0],[0],[6.337887300178409],['text_3'],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,b_r_,non_prime,bird,1,[-0.06867469879518072],[-0.2891566265060241],[1],[0],[0],[5.269928400171921],['text_3'],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,c_s_i_n,prime,cushion,1,[-0.08433734939759036],[-0.2963855421686747],[1],[0],[0],[4.509932100074366],['text_3'],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,r_o_,prime,room,1,[-0.09156626506024096],[-0.29759036144578316],[1],[0],[0],[3.063569499878213],['text_3'],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,m_n_y,non_prime,,0,[],[],[],[],[],[],[],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,b_k_,prime,bike,1,[-0.10240963855421686],[-0.3072289156626506],[1],[0],[0],[3.5335619000252336],['text_3'],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,s_e_f,non_prime,shelf,1,[-0.11686746987951807],[-0.3156626506024096],[1],[0],[0],[7.138891500188038],['text_3'],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,r_n_a_,prime,,0,[],[],[],[],[],[],[],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,h_p_y,non_prime,,0,[],[],[],[],[],[],[],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,b_o_,prime,book,1,[-0.12891566265060242],[-0.27710843373493976],[1],[0],[0],[4.412136200116947],['text_3'],738518,1,2024-11-07_14h41.34.801,word_prime_exp,2024.1.5,None,2024-11-07 14h41.41.424082 +0530
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Proportion of hit from study words,9,0.45,,,,,,,,,,,,,,
,,Proportion of hit from non-prime words,3,0.15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Priming score,,0.3,,,,,,,,,,,,,,
