test_stimulus,presence,corr_key_resp,key_resp.keys,key_resp.corr,key_resp.rt,,,
purple,no,n,n,1,0.6758025,,Accuarcy,1
green,yes,y,y,1,0.5714403,,mean_rt,0.53968624
yellow,no,n,n,1,0.5365156,,SD,0.124652054
red,yes,y,y,1,0.3368301,,,
cyan,yes,y,y,1,0.5778427,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character4.png,no,n,y,0,3.7572723,,Accuarcy,0.6
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character1.jpg,yes,y,n,0,2.6061757,,mean_rt,0.866444833
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character2.png,yes,y,y,1,0.8093616,,SD,0.050407683
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character3.jpg,yes,y,y,1,0.9048385,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character5.png,no,n,n,1,0.8851344,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob3.jpg,yes,y,n,0,3.1044784,,Accuarcy,0.6
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob5.jpg,no,n,y,0,2.2422988,,mean_rt,1.706663667
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob2.jpg,yes,y,y,1,2.7864605,,SD,0.96448951
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob1.jpg,yes,y,y,1,0.9306104,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob4.jpg,no,n,n,1,1.4029201,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube5.jpg,no,n,y,0,2.6996098,,Accuarcy,0.2
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube3.jpg,yes,y,n,0,5.2362274,,mean_rt,1.963083
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube1.jpg,yes,y,n,0,1.7785876,,SD,NA
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube4.jpg,no,n,y,0,2.2069643,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube2.jpg,yes,y,y,1,1.963083,,,
