num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,
5,0.9538337,target,,5,1.0054843,target,,5,1.1857746,target,,10,2.8321401,target,,
10,1.2112416,target,,10,1.1126158,target,,5,1.2566479,target,,10,2.8655105,target,,
5,1.0054843,target,,5,1.0390099,target,,5,1.2549816,target,,10,1.445987,target,,
10,1.1126158,target,,10,1.0111506,target,,5,2.3906286,target,,10,1.3456187,target,,
5,1.0390099,target,,10,1.2789377,target,,5,1.2232856,target,,10,1.1291899,target,,
10,1.0111506,target,,5,1.2236195,target,,5,1.0891431,target,,10,1.5115634,target,,
10,1.2789377,target,,5,1.2879104,target,,5,1.621207,target,,10,1.2288763,target,,
5,1.2236195,target,,5,1.2387073,target,,5,1.1557874,target,,10,1.4455369,target,,
5,1.2879104,target,,10,1.5806233,target,,5,1.2721479,target,,10,1.1301687,target,,
5,1.2387073,target,,10,1.5764906,target,,5,1.7245502,target,,10,1.4273715,target,,
10,1.5806233,target,,10,1.0805012,target,,5,1.5881699,target,,10,1.7145451,target,,
10,1.5764906,target,,10,1.1123593,target,,5,1.1351732,target,,10,1.5437456,target,,
10,1.0805012,target,,10,1.4132499,target,,5,1.171472,target,,10,1.3316123,target,,
10,1.1123593,target,,5,1.2892138,target,,5,2.6587508,target,,10,1.1099578,target,,
10,1.4132499,target,,5,1.255425,target,,5,1.3389657,target,,10,1.194403,target,,
5,1.4561573,,,5,1.1211107,target,,5,1.7069993,target,,10,1.0628436,target,,
5,1.2892138,target,,10,1.6118775,target,,5,1.7062092,target,,10,0.9116801,target,,
5,1.255425,target,,5,1.2213217,target,,5,1.4883707,target,,10,1.212403,target,,
5,1.1211107,target,,5,1.3057482,target,,5,1.0720163,target,,10,1.2313043,target,,
10,1.6118775,target,,10,1.4107404,target,,5,1.0569637,target,,10,1.4944846,target,,
5,1.2213217,target,,10,1.0952734,target,,5,1.4395604,target,,10,1.5303357,target,,
5,1.3057482,target,,5,1.1573453,target,,5,1.0892079,target,,,,,,
10,1.4107404,target,,10,1.8739171,target,,5,1.2558663,target,,,,,,
10,1.0952734,target,,10,1.4090919,target,,5,1.2364723,target,,,,,,
5,1.1573453,target,,10,3.7489817,target,,5,1.0342912,target,,,,,,
10,1.8739171,target,,10,2.0193662,target,,5,1.0236262,target,,,,,,
10,1.4090919,target,,5,1.1401435,target,,5,1.539046,target,,,,,,
10,3.7489817,target,,5,1.3532066,target,,5,1.4225701,target,,,,,,
10,2.0193662,target,,5,1.373487,target,,5,1.3190954,target,,,,,,
5,1.1401435,target,,5,1.1560314,target,,5,1.1043283,target,,,,,,
5,1.3532066,target,,5,1.3899751,target,,5,1.2046113,target,,,,,,
