num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,,num_distr,mouse.time,mouse.clicked_name,,,
5,1.5203264,target,,10,1.8356805,target,,5,1.5341668,target,,,10,1.4102901,target,,,
5,1.6849512,target,,5,1.677226,target,,5,1.0844432,target,,,10,1.6241361,target,,,
10,2.16548,target,,5,1.2152943,target,,5,1.3914223,target,,,10,1.8355503,target,,,
10,1.8356805,target,,5,1.535332,target,,5,1.8986784,target,,,10,1.8224551,target,,,
5,1.677226,target,,10,1.8667853,target,,5,1.1533765,target,,,10,1.1689344,target,,,
5,1.2152943,target,,10,2.1141757,target,,5,1.3749878,target,,,10,2.0823996,target,,,
5,1.535332,target,,5,1.6495427,target,,5,1.1510259,target,,,10,1.6592448,target,,,
10,1.8667853,target,,10,2.0164517,target,,5,1.7420722,target,,,10,1.6953756,target,,,
10,2.1141757,target,,5,1.5993882,target,,5,1.5865056,target,,,10,4.0167948,target,,,
5,1.6495427,target,,10,1.2347386,target,,5,1.3418692,target,,,10,1.2055666,target,,,
10,2.0164517,target,,10,1.4262606,target,,5,1.4021473,target,,,10,1.1907401,target,,,
5,1.5993882,target,,10,1.480486,target,,5,1.820118,target,,,10,2.1439531,target,,,
10,1.2347386,target,,5,2.765521,target,,5,1.2196109,target,,,10,1.7383114,target,,,
10,1.4262606,target,,5,1.603573,target,,5,1.3878837,target,,,10,1.039769,target,,,
10,1.554568,,,5,2.2316388,target,,5,2.0977762,target,,,10,1.4269496,target,,,
10,1.480486,target,,5,1.2421101,target,,5,1.1215072,target,,,10,1.9676019,target,,,
5,2.765521,target,,5,1.7437255,target,,5,1.053769,target,,,10,1.064,target,,,
5,1.603573,target,,10,2.7141013,target,,5,1.0792015,target,,,10,1.1541798,target,,,
5,2.2316388,target,,10,2.0774908,target,,5,1.2161104,target,,,10,1.788755,target,,,
5,1.4217608,,,5,1.5017644,target,,5,1.0401089,target,,,10,1.2014488,target,,,
5,1.2421101,target,,10,1.6441185,target,,5,1.5525615,target,,,10,1.6439381,target,,,
5,1.7437255,target,,5,1.495141,target,,5,1.1325165,target,,,10,1.6814443,target,,,
10,2.7141013,target,,5,1.1052088,target,,5,1.5993767,target,,,10,4.3274908,target,,,
10,2.0774908,target,,10,1.1734198,target,,5,1.5066211,target,,,10,1.5624423,target,,,
5,1.5017644,target,,10,1.831387,target,,5,1.1624493,target,,,,,,,,
10,1.6441185,target,,5,1.295443,target,,5,1.6433847,target,,,,,,,,
5,1.5589187,,,5,1.4189747,target,,5,1.0033462,target,,,,,,,,
5,1.495141,target,,10,1.296323,target,,5,2.3814031,target,,,,,,,,
5,1.1052088,target,,10,2.3625858,target,,,,,,,,,,,,
10,1.1734198,target,,5,1.4690788,target,,,,,,,,,,,,
10,1.831387,target,,10,1.3661297,target,,,,,,,,,,,,
5,1.295443,target,,5,1.5025657,target,,,,,,,,,,,,
5,1.4189747,target,,5,1.5049508,target,,,,,,,,,,,,
10,1.296323,target,,10,1.7345287,target,,,,,,,,,,,,
10,1.5981157,,,10,1.5280624,target,,,,,,,,,,,,
10,2.3625858,target,,5,1.4612078,target,,,,,,,,,,,,
5,1.4690788,target,,5,1.3055197,target,,,,,,,,,,,,
10,1.3661297,target,,5,1.4511376,target,,,,,,,,,,,,
5,1.5025657,target,,5,1.1366694,target,,,,,,,,,,,,
5,1.5049508,target,,5,1.2994966,target,,,,,,,,,,,,
10,1.7345287,target,,5,1.0496775,target,,,,,,,,,,,,
10,1.5280624,target,,10,1.1792499,target,,,,,,,,,,,,
5,1.4612078,target,,10,1.232369,target,,,,,,,,,,,,
5,1.3055197,target,,5,1.9619313,target,,,,,,,,,,,,
10,2.1636547,,,10,1.3143001,target,,,,,,,,,,,,
5,1.4511376,target,,10,2.9984543,target,,,,,,,,,,,,
5,1.1366694,target,,5,2.561689,target,,,,,,,,,,,,
5,1.2994966,target,,10,2.0617352,target,,,,,,,,,,,,
5,1.0496775,target,,10,1.4746819,target,,,,,,,,,,,,
10,1.1792499,target,,5,1.7037866,target,,,,,,,,,,,,
10,1.232369,target,,10,1.2886679,target,,,,,,,,,,,,
10,2.7973834,,,10,1.6772656,target,,,,,,,,,,,,
5,1.9619313,target,,5,1.3838757,target,,,,,,,,,,,,
10,1.3143001,target,,10,2.4235146,target,,,,,,,,,,,,
10,2.9984543,target,,5,1.104843,target,,,,,,,,,,,,
5,2.561689,target,,5,1.482483,target,,,,,,,,,,,,
10,2.0617352,target,,5,1.2706497,target,,,,,,,,,,,,
10,1.4746819,target,,5,1.4982768,target,,,,,,,,,,,,
5,1.7037866,target,,5,1.4083472,target,,,,,,,,,,,,
10,1.2886679,target,,10,1.7438664,target,,,,,,,,,,,,
10,1.6772656,target,,10,2.0641175,target,,,,,,,,,,,,
5,1.3838757,target,,5,1.5341668,target,,,,,,,,,,,,
10,1.4074062,,,10,1.3770062,target,,,,,,,,,,,,
10,2.4235146,target,,10,1.2399117,target,,,,,,,,,,,,
5,1.104843,target,,10,2.1297961,target,,,,,,,,,,,,
5,1.482483,target,,5,1.0844432,target,,,,,,,,,,,,
5,1.2706497,target,,10,2.532171,target,,,,,,,,,,,,
5,1.4982768,target,,5,1.3914223,target,,,,,,,,,,,,
5,1.4083472,target,,10,3.6065364,target,,,,,,,,,,,,
10,1.7438664,target,,10,1.4102901,target,,,,,,,,,,,,
10,2.0641175,target,,10,1.6241361,target,,,,,,,,,,,,
5,1.5341668,target,,10,1.8355503,target,,,,,,,,,,,,
10,1.3770062,target,,10,1.8224551,target,,,,,,,,,,,,
10,1.2399117,target,,10,1.1689344,target,,,,,,,,,,,,
10,2.1297961,target,,5,1.8986784,target,,,,,,,,,,,,
5,1.0844432,target,,5,1.1533765,target,,,,,,,,,,,,
10,2.532171,target,,10,2.0823996,target,,,,,,,,,,,,
5,1.3914223,target,,5,1.3749878,target,,,,,,,,,,,,
10,3.6065364,target,,5,1.1510259,target,,,,,,,,,,,,
10,1.4102901,target,,5,1.7420722,target,,,,,,,,,,,,
10,1.6241361,target,,10,1.6592448,target,,,,,,,,,,,,
10,1.8355503,target,,10,1.6953756,target,,,,,,,,,,,,
10,1.8224551,target,,10,4.0167948,target,,,,,,,,,,,,
10,1.1689344,target,,10,1.2055666,target,,,,,,,,,,,,
5,1.8986784,target,,5,1.5865056,target,,,,,,,,,,,,
5,1.1533765,target,,10,1.1907401,target,,,,,,,,,,,,
10,2.0823996,target,,10,2.1439531,target,,,,,,,,,,,,
5,1.3749878,target,,5,1.3418692,target,,,,,,,,,,,,
5,1.1510259,target,,10,1.7383114,target,,,,,,,,,,,,
5,1.7420722,target,,5,1.4021473,target,,,,,,,,,,,,
10,1.6592448,target,,5,1.820118,target,,,,,,,,,,,,
10,1.6953756,target,,5,1.2196109,target,,,,,,,,,,,,
10,4.0167948,target,,5,1.3878837,target,,,,,,,,,,,,
10,1.2055666,target,,5,2.0977762,target,,,,,,,,,,,,
5,1.5865056,target,,5,1.1215072,target,,,,,,,,,,,,
10,1.1907401,target,,5,1.053769,target,,,,,,,,,,,,
10,2.1439531,target,,5,1.0792015,target,,,,,,,,,,,,
5,1.3418692,target,,5,1.2161104,target,,,,,,,,,,,,
10,1.7383114,target,,10,1.039769,target,,,,,,,,,,,,
5,1.4021473,target,,10,1.4269496,target,,,,,,,,,,,,
5,1.820118,target,,5,1.0401089,target,,,,,,,,,,,,
5,1.2196109,target,,10,1.9676019,target,,,,,,,,,,,,
5,1.3878837,target,,10,1.064,target,,,,,,,,,,,,
5,2.0977762,target,,5,1.5525615,target,,,,,,,,,,,,
5,1.1215072,target,,10,1.1541798,target,,,,,,,,,,,,
5,1.053769,target,,10,1.788755,target,,,,,,,,,,,,
5,1.0792015,target,,5,1.1325165,target,,,,,,,,,,,,
5,1.2161104,target,,5,1.5993767,target,,,,,,,,,,,,
10,1.039769,target,,5,1.5066211,target,,,,,,,,,,,,
5,1.4694032,,,10,1.2014488,target,,,,,,,,,,,,
10,1.4269496,target,,5,1.1624493,target,,,,,,,,,,,,
5,1.1159304,,,10,1.6439381,target,,,,,,,,,,,,
5,1.0401089,target,,10,1.6814443,target,,,,,,,,,,,,
10,1.9676019,target,,5,1.6433847,target,,,,,,,,,,,,
10,1.064,target,,5,1.0033462,target,,,,,,,,,,,,
5,1.5525615,target,,10,4.3274908,target,,,,,,,,,,,,
5,1.256454,,,5,2.3814031,target,,,,,,,,,,,,
5,1.046432,,,10,1.5624423,target,,,,,,,,,,,,
10,1.1541798,target,,,,,,,,,,,,,,,,
10,1.788755,target,,,,,,,,,,,,,,,,
5,1.4466389,,,,,,,,,,,,,,,,,
5,1.1325165,target,,,,,,,,,,,,,,,,
5,1.5993767,target,,,,,,,,,,,,,,,,
5,1.2885975,,,,,,,,,,,,,,,,,
5,1.5066211,target,,,,,,,,,,,,,,,,
10,1.2014488,target,,,,,,,,,,,,,,,,
5,1.1624493,target,,,,,,,,,,,,,,,,
10,1.6439381,target,,,,,,,,,,,,,,,,
10,1.6814443,target,,,,,,,,,,,,,,,,
5,1.6433847,target,,,,,,,,,,,,,,,,
5,1.0033462,target,,,,,,,,,,,,,,,,
10,4.3274908,target,,,,,,,,,,,,,,,,
5,2.3814031,target,,,,,,,,,,,,,,,,
10,1.5624423,target,,,,,,,,,,,,,,,,
