num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,,num_distr,mouse.time,mouse.clicked_name,,,
10,3.8960655,target,,10,3.8960655,target,,5,0.9883014,target,,,10,3.8960655,target,,,
10,0.93625,target,,10,0.93625,target,,5,1.189032,target,,,10,0.93625,target,,,
5,1.1369539,,,10,1.2420779,target,,5,0.9054471,target,,,10,1.2420779,target,,,
10,1.2420779,target,,10,1.6729612,target,,5,1.1520605,target,,,10,1.6729612,target,,total mean RT,1.325150938
10,1.6729612,target,,10,1.007936,target,,5,0.971484,target,,,10,1.007936,target,,mean RT-5,1.214484891
10,1.007936,target,,10,1.6620554,target,,5,1.1037352,target,,,10,1.6620554,target,,mean RT-10,1.424734069
10,1.6620554,target,,5,0.9883014,target,,5,0.9882753,target,,,10,0.960288,target,,,
5,0.9883014,target,,10,0.960288,target,,5,1.0711465,target,,,10,1.0214762,target,,,
10,0.960288,target,,5,1.189032,target,,5,1.4041209,target,,,10,1.1130808,target,,,
5,1.189032,target,,10,1.0214762,target,,5,0.9729487,target,,,10,1.4770208,target,,,
10,1.3788052,,,5,0.9054471,target,,5,1.4364791,target,,,10,1.4425378,target,,,
10,1.0214762,target,,10,1.1130808,target,,5,1.2901867,target,,,10,1.1107508,target,,,
5,0.9054471,target,,5,1.1520605,target,,5,0.9866077,target,,,10,1.0091026,target,,,
5,0.7680072,,,10,1.4770208,target,,5,1.1018268,target,,,10,0.8939488,target,,,
10,1.1130808,target,,5,0.971484,target,,5,1.0894048,target,,,10,0.9244516,target,,,
5,1.1520605,target,,10,1.4425378,target,,5,1.4711124,target,,,10,1.5799214,target,,,
10,1.4770208,target,,10,1.1107508,target,,5,1.0500122,target,,,10,1.2787948,target,,,
5,0.971484,target,,5,1.1037352,target,,5,1.0718558,target,,,10,1.7804773,target,,,
10,1.4425378,target,,10,1.0091026,target,,5,1.0707901,target,,,10,1.2421835,target,,,
10,1.1107508,target,,10,0.8939488,target,,5,0.9390237,target,,,10,1.3628904,target,,,
10,1.3596501,,,5,0.9882753,target,,5,1.0540851,target,,,10,1.7415232,target,,,
5,1.1037352,target,,10,0.9244516,target,,5,0.8858796,target,,,10,1.2782607,target,,,
10,1.0091026,target,,10,1.5799214,target,,5,1.054908,target,,,10,1.4257409,target,,,
10,0.8939488,target,,10,1.2787948,target,,5,1.1182868,target,,,10,1.2584372,target,,,
5,0.9882753,target,,5,1.0711465,target,,5,1.9377882,target,,,10,1.3115602,target,,,
10,0.9244516,target,,10,1.7804773,target,,5,0.9700033,target,,,10,1.1071803,target,,,
10,1.5799214,target,,5,1.4041209,target,,5,1.0205074,target,,,10,1.2626668,target,,,
10,1.045203,,,5,0.9729487,target,,5,1.0034349,target,,,10,1.3268594,target,,,
10,1.2787948,target,,10,1.2421835,target,,5,1.1542882,target,,,10,1.0116896,target,,,
5,1.0711465,target,,5,1.4364791,target,,5,1.303849,target,,,10,1.2117646,target,,,
10,1.7804773,target,,10,1.3628904,target,,5,1.1213753,target,,,10,1.3287274,target,,,
5,1.4041209,target,,10,1.7415232,target,,5,1.3727425,target,,,10,1.1463599,target,,,
5,0.9729487,target,,10,1.2782607,target,,5,3.2756038,target,,,10,0.9262116,target,,,
10,1.2421835,target,,5,1.2901867,target,,5,1.1013027,target,,,10,1.5418271,target,,,
5,1.4364791,target,,10,1.4257409,target,,5,1.1029772,target,,,10,1.4259891,target,,,
10,1.3628904,target,,5,0.9866077,target,,5,1.0715215,target,,,10,1.056834,target,,,
5,1.2549416,,,5,1.1018268,target,,5,1.1838818,target,,,10,0.8780933,target,,,
10,1.7415232,target,,10,1.2584372,target,,5,1.0008947,target,,,10,1.5252098,target,,,
10,1.2782607,target,,10,1.3115602,target,,5,1.1890194,target,,,10,1.5408824,target,,,
5,1.2901867,target,,5,1.0894048,target,,5,1.0874005,target,,,10,2.0121495,target,,,
10,1.4257409,target,,5,1.4711124,target,,5,1.6830733,target,,,10,1.3112955,target,,,
5,0.9866077,target,,10,1.1071803,target,,5,0.9559996,target,,,10,1.7076857,target,,,
5,1.1018268,target,,5,1.0500122,target,,5,1.3716768,target,,,10,1.1281732,target,,,
10,1.6259301,,,10,1.2626668,target,,5,1.2541604,target,,,10,1.0919803,target,,,
10,1.2584372,target,,5,1.0718558,target,,5,1.1509332,target,,,10,1.1563662,target,,,
10,1.3115602,target,,10,1.3268594,target,,5,0.970972,target,,,10,1.1282239,target,,,
5,1.0894048,target,,10,1.0116896,target,,5,0.989964,target,,,10,1.0255654,target,,,
5,1.4711124,target,,10,1.2117646,target,,5,0.9723512,target,,,10,0.9070713,target,,,
10,1.1071803,target,,5,1.0707901,target,,5,1.0559499,target,,,10,1.091713,target,,,
5,1.0500122,target,,5,0.9390237,target,,5,1.0890501,target,,,10,0.9063861,target,,,
10,1.2626668,target,,5,1.0540851,target,,5,1.0542114,target,,,10,1.3909582,target,,,
5,1.0718558,target,,5,0.8858796,target,,5,1.1051301,target,,,10,1.0451904,target,,,
10,1.3268594,target,,5,1.054908,target,,5,0.9390754,target,,,10,1.2260287,target,,,
10,1.0116896,target,,5,1.1182868,target,,5,1.1043297,target,,,10,1.1579003,target,,,
10,1.2117646,target,,10,1.3287274,target,,5,1.0728586,target,,,10,1.4609734,target,,,
5,1.0707901,target,,5,1.9377882,target,,5,0.9219342,target,,,10,1.0752806,target,,,
5,0.9390237,target,,5,0.9700033,target,,5,1.0535763,target,,,10,1.6628498,target,,,
5,1.0540851,target,,10,1.1463599,target,,5,1.9069577,target,,,10,1.7767595,target,,,
5,0.8858796,target,,5,1.0205074,target,,5,1.7240584,target,,,10,1.9798563,target,,,
5,1.054908,target,,10,0.9262116,target,,5,0.9689674,target,,,10,0.860921,target,,,
