num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,,num_distr,mouse.time,mouse.clicked_name,,,
5,1.1182868,target,,5,1.0034349,target,,5,1.0721811,target,,,10,0.9938367,target,,,
10,1.3287274,target,,10,1.5418271,target,,5,1.2413876,target,,,10,1.1421527,target,,,
5,1.9377882,target,,10,1.4259891,target,,5,1.7879961,target,,,10,1.4561525,target,,,
5,0.9700033,target,,5,1.1542882,target,,5,0.9216895,target,,,10,1.7121714,target,,,
10,1.1463599,target,,5,1.303849,target,,5,0.9548899,target,,,10,1.062119,target,,,
5,1.0205074,target,,5,1.1213753,target,,5,1.2835217,target,,,10,1.3652953,target,,,
10,0.9262116,target,,10,1.056834,target,,5,1.4556886,target,,,10,1.0615666,target,,,
5,1.1043219,,,10,0.8780933,target,,5,1.7195897,target,,,10,1.3632212,target,,,
5,1.8394755,,,10,1.5252098,target,,5,1.3558627,target,,,10,0.9962156,target,,,
5,1.0034349,target,,5,1.3727425,target,,5,1.2890213,target,,,10,2.5791485,target,,,
10,1.5418271,target,,10,1.5408824,target,,5,2.0731911,target,,,10,4.7003573,target,,,
10,1.4259891,target,,5,3.2756038,target,,5,1.2839447,target,,,10,5.2858253,target,,,
5,1.1542882,target,,5,1.1013027,target,,5,1.086328,target,,,10,1.9585134,target,,,
5,1.303849,target,,5,1.1029772,target,,5,1.1230717,target,,,10,1.1626065,target,,,
5,1.6062781,,,10,2.0121495,target,,5,1.0355062,target,,,10,1.1967427,target,,,
5,1.1213753,target,,5,1.0715215,target,,5,1.4179251,target,,,10,1.0129704,target,,,
10,1.056834,target,,5,1.1838818,target,,5,1.2207371,target,,,10,2.3443616,target,,,
10,0.8780933,target,,5,1.0008947,target,,5,1.1305257,target,,,10,1.711769,target,,,
10,1.5252098,target,,5,1.1890194,target,,5,1.0830673,target,,,10,1.2278838,target,,,
5,1.3727425,target,,5,1.0874005,target,,5,1.2394859,target,,,10,1.5354566,target,,,
10,1.5408824,target,,10,1.3112955,target,,5,1.9888347,target,,,10,1.528914,target,,,
5,3.2756038,target,,5,1.6830733,target,,5,1.0387542,target,,,10,1.7591659,target,,,
5,1.1013027,target,,5,0.9559996,target,,,,,,,10,2.1264,target,,,
5,1.1029772,target,,10,1.7076857,target,,,,,,,10,1.6635212,target,,,
10,2.0121495,target,,5,1.3716768,target,,,,,,,10,1.0860168,target,,,
5,1.0715215,target,,5,1.2541604,target,,,,,,,10,1.2725644,target,,,
5,1.1838818,target,,10,1.1281732,target,,,,,,,10,0.9785737,target,,,
5,1.0008947,target,,10,1.0919803,target,,,,,,,10,1.1772478,target,,,
5,1.1890194,target,,10,1.1563662,target,,,,,,,10,1.0711123,target,,,
5,1.0874005,target,,5,1.1509332,target,,,,,,,10,1.0014494,target,,,
10,1.3112955,target,,5,0.970972,target,,,,,,,10,1.0940521,target,,,
5,1.6830733,target,,10,1.1282239,target,,,,,,,10,1.5134325,target,,,
5,0.9559996,target,,10,1.0255654,target,,,,,,,,,,,,
10,1.7076857,target,,5,0.989964,target,,,,,,,,,,,,
5,1.3716768,target,,10,0.9070713,target,,,,,,,,,,,,
5,1.2541604,target,,5,0.9723512,target,,,,,,,,,,,,
10,1.1281732,target,,10,1.091713,target,,,,,,,,,,,,
10,1.0919803,target,,10,0.9063861,target,,,,,,,,,,,,
10,1.1563662,target,,10,1.3909582,target,,,,,,,,,,,,
5,1.1509332,target,,10,1.0451904,target,,,,,,,,,,,,
5,0.970972,target,,10,1.2260287,target,,,,,,,,,,,,
10,1.1282239,target,,5,1.0559499,target,,,,,,,,,,,,
10,1.0255654,target,,10,1.1579003,target,,,,,,,,,,,,
10,1.420172,,,10,1.4609734,target,,,,,,,,,,,,
5,0.989964,target,,5,1.0890501,target,,,,,,,,,,,,
10,0.9070713,target,,10,1.0752806,target,,,,,,,,,,,,
5,0.9723512,target,,10,1.6628498,target,,,,,,,,,,,,
10,1.091713,target,,10,1.7767595,target,,,,,,,,,,,,
10,0.9063861,target,,10,1.9798563,target,,,,,,,,,,,,
10,1.3909582,target,,5,1.0542114,target,,,,,,,,,,,,
10,1.0451904,target,,10,0.860921,target,,,,,,,,,,,,
10,1.2260287,target,,5,1.1051301,target,,,,,,,,,,,,
5,1.0559499,target,,10,0.9938367,target,,,,,,,,,,,,
10,1.1579003,target,,10,1.1421527,target,,,,,,,,,,,,
5,1.3379238,,,10,1.4561525,target,,,,,,,,,,,,
10,1.4609734,target,,10,1.7121714,target,,,,,,,,,,,,
5,1.0890501,target,,10,1.062119,target,,,,,,,,,,,,
10,1.0752806,target,,5,0.9390754,target,,,,,,,,,,,,
5,1.1208084,,,10,1.3652953,target,,,,,,,,,,,,
10,0.9926255,,,5,1.1043297,target,,,,,,,,,,,,
10,1.01071,,,10,1.0615666,target,,,,,,,,,,,,
10,1.6628498,target,,10,1.3632212,target,,,,,,,,,,,,
10,1.4781172,,,5,1.0728586,target,,,,,,,,,,,,
10,1.7767595,target,,5,0.9219342,target,,,,,,,,,,,,
10,1.9798563,target,,10,0.9962156,target,,,,,,,,,,,,
5,1.0542114,target,,5,1.0535763,target,,,,,,,,,,,,
10,0.860921,target,,10,2.5791485,target,,,,,,,,,,,,
5,1.1051301,target,,10,4.7003573,target,,,,,,,,,,,,
5,1.0709729,,,10,5.2858253,target,,,,,,,,,,,,
10,0.9938367,target,,5,1.9069577,target,,,,,,,,,,,,
10,1.1421527,target,,10,1.9585134,target,,,,,,,,,,,,
10,1.4561525,target,,10,1.1626065,target,,,,,,,,,,,,
10,1.7121714,target,,5,1.7240584,target,,,,,,,,,,,,
10,1.062119,target,,10,1.1967427,target,,,,,,,,,,,,
5,0.9390754,target,,5,0.9689674,target,,,,,,,,,,,,
5,0.8356924,,,5,1.0721811,target,,,,,,,,,,,,
10,1.042528,,,10,1.0129704,target,,,,,,,,,,,,
10,1.3652953,target,,5,1.2413876,target,,,,,,,,,,,,
5,1.1043297,target,,5,1.7879961,target,,,,,,,,,,,,
10,1.0615666,target,,10,2.3443616,target,,,,,,,,,,,,
10,1.3632212,target,,10,1.711769,target,,,,,,,,,,,,
5,1.0728586,target,,10,1.2278838,target,,,,,,,,,,,,
5,0.9219342,target,,5,0.9216895,target,,,,,,,,,,,,
5,1.0550301,,,5,0.9548899,target,,,,,,,,,,,,
10,0.9962156,target,,5,1.2835217,target,,,,,,,,,,,,
5,1.0535763,target,,5,1.4556886,target,,,,,,,,,,,,
10,2.5791485,target,,5,1.7195897,target,,,,,,,,,,,,
10,4.7003573,target,,5,1.3558627,target,,,,,,,,,,,,
10,5.2858253,target,,5,1.2890213,target,,,,,,,,,,,,
5,1.9069577,target,,10,1.5354566,target,,,,,,,,,,,,
10,1.9585134,target,,10,1.528914,target,,,,,,,,,,,,
10,1.1626065,target,,10,1.7591659,target,,,,,,,,,,,,
5,1.7240584,target,,5,2.0731911,target,,,,,,,,,,,,
10,1.1967427,target,,10,2.1264,target,,,,,,,,,,,,
5,0.937896,,,10,1.6635212,target,,,,,,,,,,,,
5,0.9689674,target,,5,1.2839447,target,,,,,,,,,,,,
5,1.0721811,target,,5,1.086328,target,,,,,,,,,,,,
10,1.0129704,target,,5,1.1230717,target,,,,,,,,,,,,
5,1.2413876,target,,5,1.0355062,target,,,,,,,,,,,,
5,1.7879961,target,,10,1.0860168,target,,,,,,,,,,,,
10,2.3443616,target,,10,1.2725644,target,,,,,,,,,,,,
10,1.711769,target,,5,1.4179251,target,,,,,,,,,,,,
10,1.2278838,target,,10,0.9785737,target,,,,,,,,,,,,
5,0.9216895,target,,10,1.1772478,target,,,,,,,,,,,,
5,0.9548899,target,,5,1.2207371,target,,,,,,,,,,,,
10,2.6124918,,,5,1.1305257,target,,,,,,,,,,,,
5,1.2835217,target,,10,1.0711123,target,,,,,,,,,,,,
5,1.4556886,target,,10,1.0014494,target,,,,,,,,,,,,
5,1.7195897,target,,5,1.0830673,target,,,,,,,,,,,,
5,1.089249,,,5,1.2394859,target,,,,,,,,,,,,
5,1.3558627,target,,5,1.9888347,target,,,,,,,,,,,,
5,1.2890213,target,,10,1.0940521,target,,,,,,,,,,,,
10,1.5354566,target,,5,1.0387542,target,,,,,,,,,,,,
10,1.528914,target,,10,1.5134325,target,,,,,,,,,,,,
10,1.7591659,target,,,,,,,,,,,,,,,,
5,2.0731911,target,,,,,,,,,,,,,,,,
10,2.1264,target,,,,,,,,,,,,,,,,
10,1.6635212,target,,,,,,,,,,,,,,,,
5,1.1465553,,,,,,,,,,,,,,,,,
5,1.2839447,target,,,,,,,,,,,,,,,,
5,1.086328,target,,,,,,,,,,,,,,,,
5,1.1230717,target,,,,,,,,,,,,,,,,
5,1.0355062,target,,,,,,,,,,,,,,,,
10,1.0141613,,,,,,,,,,,,,,,,,
10,1.0860168,target,,,,,,,,,,,,,,,,
10,1.2725644,target,,,,,,,,,,,,,,,,
5,1.4179251,target,,,,,,,,,,,,,,,,
10,0.9785737,target,,,,,,,,,,,,,,,,
10,1.1772478,target,,,,,,,,,,,,,,,,
5,1.2207371,target,,,,,,,,,,,,,,,,
5,1.1305257,target,,,,,,,,,,,,,,,,
10,1.0711123,target,,,,,,,,,,,,,,,,
10,1.0014494,target,,,,,,,,,,,,,,,,
5,1.0830673,target,,,,,,,,,,,,,,,,
5,1.2394859,target,,,,,,,,,,,,,,,,
5,1.9888347,target,,,,,,,,,,,,,,,,
5,1.4395069,,,,,,,,,,,,,,,,,
10,1.0940521,target,,,,,,,,,,,,,,,,
5,1.0387542,target,,,,,,,,,,,,,,,,
10,1.5134325,target,,,,,,,,,,,,,,,,
